timestamp,mahalanobis_distance
2024-12-16 07:44:00,48.158828850059756
2024-12-18 05:54:00,33.24150193837649
2024-12-21 00:03:00,27.938094138467942
2024-12-18 05:53:00,26.0286181230016
2024-12-20 09:45:00,23.342006952354758
2024-12-16 10:35:00,21.30576194475187
2024-12-18 20:08:00,20.088462553934384
2024-12-16 14:55:00,19.87799020763912
2024-12-18 10:03:00,19.520597321753815
2024-12-16 13:50:00,17.663986804365436
2024-12-19 19:25:00,16.980042464607887
2024-12-20 20:03:00,15.701777213470988
2024-12-20 20:25:00,15.4618262961923
2024-12-19 05:44:00,15.002889665377749
2024-12-18 20:07:00,14.12565609561972
2024-12-19 16:11:00,14.075114547928083
2024-12-15 15:44:00,14.014316405302013
2024-12-19 02:44:00,13.865735333979556
2024-12-18 15:23:00,13.551897524720419
2024-12-18 20:09:00,13.53695788339149
2024-12-20 10:04:00,13.484148707870265
2024-12-16 05:22:00,13.159202348565348
2024-12-20 20:26:00,12.577941504556348
2024-12-18 11:08:00,12.288995957812478
2024-12-19 21:08:00,12.20297169801915
2024-12-16 10:53:00,12.183464442970562
2024-12-15 12:45:00,12.133156072419096
2024-12-20 20:02:00,11.995424369113724
2024-12-18 04:20:00,11.891361562083215
2024-12-16 11:12:00,11.741386618539009
2024-12-16 21:14:00,11.250454918170671
2024-12-15 14:59:00,11.242055028731036
2024-12-21 05:45:00,11.202329279656558
2024-12-19 15:53:00,11.158576380603725
2024-12-19 15:54:00,10.997239494670483
2024-12-17 04:52:00,10.984733434580924
2024-12-18 00:28:00,10.965704592236339
2024-12-20 12:12:00,10.76377219956212
2024-12-17 09:23:00,10.529222015395773
2024-12-17 14:43:00,9.985984289997901
2024-12-18 06:12:00,9.87948962444801
2024-12-17 09:58:00,9.756767554364895
2024-12-19 03:32:00,9.53774015854014
2024-12-19 00:54:00,9.467177209718168
2024-12-18 11:38:00,9.340058024717283
2024-12-16 19:36:00,8.92834261657676
2024-12-20 05:46:00,8.85409744073987
2024-12-18 15:55:00,8.826590986749862
2024-12-19 17:54:00,8.820697741672992
2024-12-15 14:57:00,8.684569539912593
2024-12-16 11:33:00,8.631407006337994
2024-12-19 01:17:00,8.538744355387463
2024-12-18 12:08:00,8.442340342731892
2024-12-20 05:17:00,8.432586235925232
2024-12-18 05:52:00,8.352818108612773
2024-12-19 17:53:00,8.348379607739885
2024-12-18 11:09:00,8.328593023397218
2024-12-20 10:21:00,8.287475083846292
2024-12-19 05:43:00,8.231542439682505
2024-12-15 14:00:00,8.187958937175576
2024-12-18 15:47:00,8.128930479190736
2024-12-20 05:48:00,7.975225860678928
2024-12-18 00:57:00,7.850707955307099
2024-12-18 06:14:00,7.722506810473694
2024-12-17 01:23:00,7.70460752030509
2024-12-16 13:38:00,7.654899605059577
2024-12-16 16:34:00,7.43997236016248
2024-12-18 15:01:00,7.3841774662061095
2024-12-18 16:00:00,7.354748733219701
2024-12-18 20:52:00,7.244493016279932
2024-12-19 01:58:00,7.168106237090666
2024-12-16 13:36:00,7.141723865320439
2024-12-19 02:43:00,7.134908078928461
2024-12-19 17:55:00,6.97214037737745
2024-12-16 13:23:00,6.957749826329325
2024-12-19 13:21:00,6.945371391698833
2024-12-16 19:35:00,6.859456846313733
2024-12-20 05:49:00,6.778152438936069
2024-12-17 09:36:00,6.770320085278394
2024-12-16 01:18:00,6.748245360333601
2024-12-16 13:11:00,6.736494520913004
2024-12-15 03:50:00,6.721047281448015
2024-12-20 08:13:00,6.719475340542373
2024-12-15 10:47:00,6.687480135569272
2024-12-16 21:09:00,6.559844073614136
2024-12-20 10:25:00,6.546760792267599
2024-12-16 16:31:00,6.521786827178024
2024-12-20 05:16:00,6.471365866134907
2024-12-16 21:13:00,6.251120286292949
2024-12-16 05:27:00,6.234184341745299
2024-12-18 00:04:00,6.184817259560632
2024-12-16 18:50:00,6.143595453801804
2024-12-16 14:01:00,6.122199264050322
2024-12-20 12:18:00,6.121242551950903
2024-12-18 20:51:00,6.0738089926756045
2024-12-19 13:18:00,6.032751871607977
2024-12-16 18:57:00,5.976007023227991
2024-12-17 02:17:00,5.934260804968052
2024-12-18 12:03:00,5.8970816631553244
2024-12-16 13:51:00,5.873267974394987
2024-12-16 13:28:00,5.87031323595394
2024-12-15 21:39:00,5.86590879070756
2024-12-16 16:32:00,5.813502088978238
2024-12-20 08:35:00,5.8006408643903296
2024-12-16 00:51:00,5.79118203761173
2024-12-16 17:46:00,5.780024842472859
2024-12-15 16:02:00,5.7351061093745015
2024-12-17 01:41:00,5.712013186923993
2024-12-19 03:31:00,5.70693881809672
2024-12-16 11:30:00,5.697892125126291
2024-12-18 21:16:00,5.689411616334919
2024-12-16 19:26:00,5.679456903023914
2024-12-15 01:52:00,5.633320510870869
2024-12-16 18:49:00,5.593862143119894
2024-12-16 20:26:00,5.574196171095235
2024-12-20 22:04:00,5.564868613009367
2024-12-16 17:21:00,5.560271745375178
2024-12-19 01:59:00,5.5314890315703025
2024-12-18 17:46:00,5.496458259225769
2024-12-16 10:06:00,5.469013033115723
2024-12-16 17:45:00,5.450883968141389
2024-12-15 15:43:00,5.446809276389461
2024-12-16 19:25:00,5.4384899216273
2024-12-16 16:42:00,5.408783480374402
2024-12-18 20:49:00,5.33582589911293
2024-12-19 13:20:00,5.329749610224384
2024-12-16 23:04:00,5.296709390761005
2024-12-15 03:32:00,5.2234839530756885
2024-12-16 16:13:00,5.189393155898356
2024-12-18 09:01:00,5.1477761640749975
2024-12-16 18:37:00,5.127924775506459
2024-12-20 10:24:00,5.122574915068587
2024-12-15 10:37:00,5.115438963081437
2024-12-19 05:00:00,5.070146092359058
2024-12-16 19:23:00,5.059745405459383
2024-12-14 20:32:00,5.0587764689641315
2024-12-18 10:01:00,5.022506314443741
2024-12-19 20:48:00,5.002475412597223
